IdTiempo,Fecha,Anio,Mes,Dia,Trimestre,Semestre
120,2022-04-30,2022,4,30,2,1
121,2022-05-01,2022,5,1,2,1
122,2022-05-02,2022,5,2,2,1
123,2022-05-03,2022,5,3,2,1
124,2022-05-04,2022,5,4,2,1
125,2022-05-05,2022,5,5,2,1
126,2022-05-06,2022,5,6,2,1
127,2022-05-07,2022,5,7,2,1
128,2022-05-08,2022,5,8,2,1
129,2022-05-09,2022,5,9,2,1
130,2022-05-10,2022,5,10,2,1
131,2022-05-11,2022,5,11,2,1
132,2022-05-12,2022,5,12,2,1
133,2022-05-13,2022,5,13,2,1
134,2022-05-14,2022,5,14,2,1
135,2022-05-15,2022,5,15,2,1
136,2022-05-16,2022,5,16,2,1
137,2022-05-17,2022,5,17,2,1
138,2022-05-18,2022,5,18,2,1
139,2022-05-19,2022,5,19,2,1
140,2022-05-20,2022,5,20,2,1
141,2022-05-21,2022,5,21,2,1
142,2022-05-22,2022,5,22,2,1
143,2022-05-23,2022,5,23,2,1
144,2022-05-24,2022,5,24,2,1
145,2022-05-25,2022,5,25,2,1
146,2022-05-26,2022,5,26,2,1
147,2022-05-27,2022,5,27,2,1
148,2022-05-28,2022,5,28,2,1
149,2022-05-29,2022,5,29,2,1
150,2022-05-30,2022,5,30,2,1
151,2022-05-31,2022,5,31,2,1
152,2022-06-01,2022,6,1,2,1
153,2022-06-02,2022,6,2,2,1
154,2022-06-03,2022,6,3,2,1
155,2022-06-04,2022,6,4,2,1
156,2022-06-05,2022,6,5,2,1
157,2022-06-06,2022,6,6,2,1
158,2022-06-07,2022,6,7,2,1
159,2022-06-08,2022,6,8,2,1
160,2022-06-09,2022,6,9,2,1
161,2022-06-10,2022,6,10,2,1
162,2022-06-11,2022,6,11,2,1
163,2022-06-12,2022,6,12,2,1
164,2022-06-13,2022,6,13,2,1
165,2022-06-14,2022,6,14,2,1
166,2022-06-15,2022,6,15,2,1
167,2022-06-16,2022,6,16,2,1
168,2022-06-17,2022,6,17,2,1
169,2022-06-18,2022,6,18,2,1
170,2022-06-19,2022,6,19,2,1
171,2022-06-20,2022,6,20,2,1
172,2022-06-21,2022,6,21,2,1
173,2022-06-22,2022,6,22,2,1
174,2022-06-23,2022,6,23,2,1
175,2022-06-24,2022,6,24,2,1
176,2022-06-25,2022,6,25,2,1
177,2022-06-26,2022,6,26,2,1
178,2022-06-27,2022,6,27,2,1
179,2022-06-28,2022,6,28,2,1
180,2022-06-29,2022,6,29,2,1
181,2022-06-30,2022,6,30,2,1
